id,country,year,amount
1,us,1997,8608515000000
2,us,1998,9089168000000
3,us,1999,9660624000000
4,us,2000,10284779000000
5,us,2001,10621824000000
6,us,2002,10977514000000
7,us,2003,11510670000000
8,us,2004,12274928000000
9,us,2005,13093726000000
10,us,2006,13855888000000
11,us,2007,14477635000000
12,us,2008,14718582000000
13,us,2009,14418739000000
14,us,2010,14964372000000
15,us,2011,15517926000000
16,us,2012,16163158000000
17,us,2013,16768053000000
18,us,2014,17419000000000
