id,year,servicegood,importexport,title,price
147,2012,good,import,Consumer Goods,516918
148,2011,good,import,Consumer Goods,514108
149,2014,good,import,Other Goods,78629
150,2013,good,import,Other Goods,75562
151,2012,good,import,Other Goods,71953
152,2011,good,import,Other Goods,65169
153,2010,service,export,Total Services,548878
154,2009,service,export,Total Services,505547
155,2008,service,export,Total Services,535183
156,2007,service,export,Total Services,497245
157,2006,service,export,Total Services,433905
158,2005,service,export,Total Services,389122
159,2004,service,export,Total Services,343912
160,2003,service,export,Total Services,309146
161,2002,service,export,Total Services,294854
162,2001,service,export,Total Services,279260
163,2000,service,export,Total Services,292245
164,1999,service,export,Total Services,273181
165,1998,service,export,Total Services,263661
166,1997,service,export,Total Services,258828
167,2010,service,export,Travel,103505
168,2009,service,export,Travel,94191
169,2008,service,export,Travel,110423
170,2007,service,export,Travel,96712
171,2006,service,export,Travel,85720
172,2005,service,export,Travel,81799
173,2004,service,export,Travel,74481
174,2003,service,export,Travel,64348
175,2002,service,export,Travel,66605
176,2001,service,export,Travel,73119
177,2000,service,export,Travel,82267
178,1999,service,export,Travel,74731
179,1998,service,export,Travel,71250
180,1997,service,export,Travel,73301
181,2010,service,export,Passenger Fares,30931
182,2009,service,export,Passenger Fares,26103
183,2008,service,export,Passenger Fares,30957
184,2007,service,export,Passenger Fares,25586
185,2006,service,export,Passenger Fares,22036
186,2005,service,export,Passenger Fares,20970
187,2004,service,export,Passenger Fares,18858
188,2003,service,export,Passenger Fares,15693
189,2002,service,export,Passenger Fares,17046
190,2001,service,export,Passenger Fares,18007
191,2000,service,export,Passenger Fares,20760
192,1999,service,export,Passenger Fares,19785
193,1998,service,export,Passenger Fares,19996
194,1997,service,export,Passenger Fares,20789
195,2010,service,export,Other Transportation,39936
196,2009,service,export,Other Transportation,35533
197,2008,service,export,Other Transportation,44016
198,2007,service,export,Other Transportation,51586
199,2006,service,export,Other Transportation,46323
200,2005,service,export,Other Transportation,41281
201,2004,service,export,Other Transportation,36862
202,2003,service,export,Other Transportation,31329
203,2002,service,export,Other Transportation,29195
204,2001,service,export,Other Transportation,28306
205,2000,service,export,Other Transportation,30137
206,1999,service,export,Other Transportation,26916
207,1998,service,export,Other Transportation,25518
208,1997,service,export,Other Transportation,27006
209,2010,service,export,Royalties and License Fees,105583
210,2009,service,export,Royalties and License Fees,97183
211,2008,service,export,Royalties and License Fees,102125
212,2007,service,export,Royalties and License Fees,82614
213,2006,service,export,Royalties and License Fees,72191
214,2005,service,export,Royalties and License Fees,64395
215,2004,service,export,Royalties and License Fees,52643
216,2003,service,export,Royalties and License Fees,48137
217,2002,service,export,Royalties and License Fees,44489
218,2001,service,export,Royalties and License Fees,38668
219,2000,service,export,Royalties and License Fees,39607
220,1999,service,export,Royalties and License Fees,36902
221,1998,service,export,Royalties and License Fees,36808
222,1997,service,export,Royalties and License Fees,33781
223,2010,service,export,Other Private Services,250320
224,2009,service,export,Other Private Services,234858
225,2008,service,export,Other Private Services,232019
226,2007,service,export,Other Private Services,223483
227,2006,service,export,Other Private Services,189050
228,2005,service,export,Other Private Services,160051
229,2004,service,export,Other Private Services,145433
230,2003,service,export,Other Private Services,136060
231,2002,service,export,Other Private Services,124781
232,2001,service,export,Other Private Services,108109
233,2000,service,export,Other Private Services,104707
234,1999,service,export,Other Private Services,98158
235,1998,service,export,Other Private Services,92116
236,1997,service,export,Other Private Services,85566
237,2010,service,export,Transfers Under U.S. Military Sales Contracts,17483
238,2009,service,export,Transfers Under U.S. Military Sales Contracts,16611
239,2008,service,export,Transfers Under U.S. Military Sales Contracts,14711
240,2007,service,export,Transfers Under U.S. Military Sales Contracts,16052
241,2006,service,export,Transfers Under U.S. Military Sales Contracts,17430
242,2005,service,export,Transfers Under U.S. Military Sales Contracts,19539
243,2004,service,export,Transfers Under U.S. Military Sales Contracts,14814
244,2003,service,export,Transfers Under U.S. Military Sales Contracts,12769
245,2002,service,export,Transfers Under U.S. Military Sales Contracts,11943
246,2001,service,export,Transfers Under U.S. Military Sales Contracts,12220
247,2000,service,export,Transfers Under U.S. Military Sales Contracts,13981
248,1999,service,export,Transfers Under U.S. Military Sales Contracts,15804
249,1998,service,export,Transfers Under U.S. Military Sales Contracts,17155
250,1997,service,export,Transfers Under U.S. Military Sales Contracts,17561
251,2010,service,export,U.S. Government Misc. Services ,1121
252,2009,service,export,U.S. Government Misc. Services ,1069
253,2008,service,export,U.S. Government Misc. Services ,933
254,2007,service,export,U.S. Government Misc. Services ,1212
255,2006,service,export,U.S. Government Misc. Services ,1155
256,2005,service,export,U.S. Government Misc. Services ,1087
257,2004,service,export,U.S. Government Misc. Services ,821
258,2003,service,export,U.S. Government Misc. Services ,810
259,2002,service,export,U.S. Government Misc. Services ,795
260,2001,service,export,U.S. Government Misc. Services ,831
261,2000,service,export,U.S. Government Misc. Services ,786
262,1999,service,export,U.S. Government Misc. Services ,885
263,1998,service,export,U.S. Government Misc. Services ,818
264,1997,service,export,U.S. Government Misc. Services ,824
265,2010,good,export,Total Balance of Payments Basis,1288699
266,2009,good,export,Total Balance of Payments Basis,1069491
267,2008,good,export,Total Balance of Payments Basis,1307499
268,2007,good,export,Total Balance of Payments Basis,1148481
269,2006,good,export,Total Balance of Payments Basis,1023109
270,2005,good,export,Total Balance of Payments Basis,894631
271,2004,good,export,Total Balance of Payments Basis,807536
272,2003,good,export,Total Balance of Payments Basis,713421
273,2002,good,export,Total Balance of Payments Basis,682422
274,2001,good,export,Total Balance of Payments Basis,718762
275,2000,good,export,Total Balance of Payments Basis,771994
276,1999,good,export,Total Balance of Payments Basis,683965
277,1998,good,export,Total Balance of Payments Basis,670246
278,1997,good,export,Total Balance of Payments Basis,679715
279,2010,good,export,Net Adjustments,10436
280,2009,good,export,Net Adjustments,13448
281,2008,good,export,Net Adjustments,20057
282,2007,good,export,Net Adjustments,-13999
283,2006,good,export,Net Adjustments,-13525
284,2005,good,export,Net Adjustments,-11347
285,2004,good,export,Net Adjustments,-11239
286,2003,good,export,Net Adjustments,-11350
287,2002,good,export,Net Adjustments,-10681
288,2001,good,export,Net Adjustments,-10339
289,2000,good,export,Net Adjustments,-9924
290,1999,good,export,Net Adjustments,-11833
291,1998,good,export,Net Adjustments,-11892
292,1997,good,export,Net Adjustments,-9468
293,2010,good,export,Total Census Basis,1278263
294,2009,good,export,Total Census Basis,1056043
295,2008,good,export,Total Census Basis,1287442
296,2007,good,export,Total Census Basis,1162479
297,2006,good,export,Total Census Basis,1036635
298,2005,good,export,Total Census Basis,905978
299,2004,good,export,Total Census Basis,818775
300,2003,good,export,Total Census Basis,724771
301,2002,good,export,Total Census Basis,693103
302,2001,good,export,Total Census Basis,729100
303,2000,good,export,Total Census Basis,781918
304,1999,good,export,Total Census Basis,695797
305,1998,good,export,Total Census Basis,682138
306,1997,good,export,Total Census Basis,689182
307,2010,good,export,"Foods, Feeds, Beverages",107705
308,2009,good,export,"Foods, Feeds, Beverages",93908
309,2008,good,export,"Foods, Feeds, Beverages",108349
310,2007,good,export,"Foods, Feeds, Beverages",84264
311,2006,good,export,"Foods, Feeds, Beverages",65962
312,2005,good,export,"Foods, Feeds, Beverages",58955
313,2004,good,export,"Foods, Feeds, Beverages",56570
314,2003,good,export,"Foods, Feeds, Beverages",55026
